dataset,feature,length,model_size,auc
StackExchange,ppl,200,6.9b,0.509251
StackExchange,ppl,300,6.9b,0.5301345
StackExchange,ppl,400,6.9b,0.5029755
StackExchange,ppl,500,6.9b,0.508716
StackExchange,ppl,600,6.9b,0.5034435
StackExchange,ppl,700,6.9b,0.5203344999999999
StackExchange,ppl,800,6.9b,0.5231315
StackExchange,ppl,900,6.9b,0.5175908521303259
StackExchange,mink_plus,0,410m,0.518586
StackExchange,mink_plus,100,410m,0.501622
StackExchange,mink_plus,200,410m,0.5047470000000001
StackExchange,mink_plus,300,410m,0.5063295
StackExchange,mink_plus,400,410m,0.505122
StackExchange,mink_plus,500,410m,0.50108
StackExchange,mink_plus,600,410m,0.503762
StackExchange,mink_plus,700,410m,0.522405
StackExchange,mink_plus,800,410m,0.5052079999999999
StackExchange,mink_plus,900,410m,0.5309235588972432
StackExchange,mink_plus,0,1b,0.500866
StackExchange,mink_plus,100,1b,0.50071
StackExchange,mink_plus,200,1b,0.5194730000000001
StackExchange,mink_plus,300,1b,0.5068710000000001
StackExchange,mink_plus,400,1b,0.5156430000000001
StackExchange,mink_plus,500,1b,0.5130640000000001
StackExchange,mink_plus,600,1b,0.520031
StackExchange,mink_plus,700,1b,0.535854
StackExchange,mink_plus,800,1b,0.516587
StackExchange,mink_plus,900,1b,0.537171679197995
StackExchange,mink_plus,0,2.8b,0.51062
StackExchange,mink_plus,100,2.8b,0.509767
StackExchange,mink_plus,200,2.8b,0.522698
StackExchange,mink_plus,300,2.8b,0.523257
StackExchange,mink_plus,400,2.8b,0.533467
StackExchange,mink_plus,500,2.8b,0.52965
StackExchange,mink_plus,600,2.8b,0.5285890000000001
StackExchange,mink_plus,700,2.8b,0.545897
StackExchange,mink_plus,800,2.8b,0.53921
StackExchange,mink_plus,900,2.8b,0.5504692982456141
StackExchange,mink_plus,0,6.9b,0.522335
StackExchange,mink_plus,100,6.9b,0.515618
StackExchange,mink_plus,200,6.9b,0.525735
StackExchange,mink_plus,300,6.9b,0.5225280000000001
StackExchange,mink_plus,400,6.9b,0.5386880000000001
StackExchange,mink_plus,500,6.9b,0.545038
StackExchange,mink_plus,600,6.9b,0.5389579999999999
StackExchange,mink_plus,700,6.9b,0.558079
StackExchange,mink_plus,800,6.9b,0.546299
StackExchange,mink_plus,900,6.9b,0.5729598997493734
StackExchange,zlib,0,410m,0.5288955
StackExchange,zlib,100,410m,0.514262
StackExchange,zlib,200,410m,0.50387
StackExchange,zlib,300,410m,0.5007275
StackExchange,zlib,400,410m,0.506906
StackExchange,zlib,500,410m,0.5093935
StackExchange,zlib,600,410m,0.5035875000000001
StackExchange,zlib,700,410m,0.5163169999999999
StackExchange,zlib,800,410m,0.509509
StackExchange,zlib,900,410m,0.5147111528822055
StackExchange,zlib,0,1b,0.5144345
StackExchange,zlib,100,1b,0.513073
StackExchange,zlib,200,1b,0.506263
StackExchange,zlib,300,1b,0.5095705
StackExchange,zlib,400,1b,0.5125170000000001
StackExchange,zlib,500,1b,0.511656
StackExchange,zlib,600,1b,0.5103845
StackExchange,zlib,700,1b,0.5182765
StackExchange,zlib,800,1b,0.5128155
StackExchange,zlib,900,1b,0.5173834586466165
StackExchange,zlib,0,2.8b,0.511427
StackExchange,zlib,100,2.8b,0.513009
StackExchange,zlib,200,2.8b,0.5119545
StackExchange,zlib,300,2.8b,0.5152885
StackExchange,zlib,400,2.8b,0.5189075
StackExchange,zlib,500,2.8b,0.506556
StackExchange,zlib,600,2.8b,0.5162800000000001
StackExchange,zlib,700,2.8b,0.524486
StackExchange,zlib,800,2.8b,0.518308
StackExchange,zlib,900,2.8b,0.5210025062656641
StackExchange,zlib,0,6.9b,0.5103989999999999
StackExchange,zlib,100,6.9b,0.5165685
StackExchange,zlib,200,6.9b,0.5162165
StackExchange,zlib,300,6.9b,0.517354
StackExchange,zlib,400,6.9b,0.519668
StackExchange,zlib,500,6.9b,0.5014885
StackExchange,zlib,600,6.9b,0.517639
StackExchange,zlib,700,6.9b,0.527408
StackExchange,zlib,800,6.9b,0.520567
StackExchange,zlib,900,6.9b,0.5259761904761905
StackExchange,grad,0,410m,0.507217
StackExchange,grad,100,410m,0.5056364999999999
StackExchange,grad,200,410m,0.5134210000000001
StackExchange,grad,300,410m,0.5064405
StackExchange,grad,400,410m,0.51129
StackExchange,grad,500,410m,0.5134695
StackExchange,grad,600,410m,0.5130275
StackExchange,grad,700,410m,0.503415
StackExchange,grad,800,410m,0.505631
StackExchange,grad,900,410m,0.5028082706766918
StackExchange,grad,0,1b,0.5258404999999999
StackExchange,grad,100,1b,0.5009145
StackExchange,grad,200,1b,0.506181
StackExchange,grad,300,1b,0.5120564999999999
StackExchange,grad,400,1b,0.5122835
StackExchange,grad,500,1b,0.5106495
StackExchange,grad,600,1b,0.505146
StackExchange,grad,700,1b,0.5011260000000001
StackExchange,grad,800,1b,0.502742
StackExchange,grad,900,1b,0.5086340852130327
StackExchange,grad,0,2.8b,0.517652
StackExchange,grad,100,2.8b,0.5042135
StackExchange,grad,200,2.8b,0.5175684999999999
StackExchange,grad,300,2.8b,0.53053
StackExchange,grad,400,2.8b,0.5135685000000001
StackExchange,grad,500,2.8b,0.506048
StackExchange,grad,600,2.8b,0.5037259999999999
StackExchange,grad,700,2.8b,0.5186795
StackExchange,grad,800,2.8b,0.5091755
StackExchange,grad,900,2.8b,0.5179793233082706
StackExchange,grad,0,6.9b,0.5221499999999999
StackExchange,grad,100,6.9b,0.5126995
StackExchange,grad,200,6.9b,0.5143325000000001
StackExchange,grad,300,6.9b,0.504629
StackExchange,grad,400,6.9b,0.5045285
StackExchange,grad,500,6.9b,0.511732
StackExchange,grad,600,6.9b,0.5184489999999999
StackExchange,grad,700,6.9b,0.5105465
StackExchange,grad,800,6.9b,0.5103070000000001
StackExchange,grad,900,6.9b,0.5197080200501253
StackExchange,refer,0,410m,0.521289
StackExchange,refer,100,410m,0.5018294999999999
StackExchange,refer,200,410m,0.504006
StackExchange,refer,300,410m,0.522667
StackExchange,refer,400,410m,0.5026215
StackExchange,refer,500,410m,0.5170239999999999
StackExchange,refer,600,410m,0.505015
StackExchange,refer,700,410m,0.512776
StackExchange,refer,800,410m,0.5137740000000001
StackExchange,refer,900,410m,0.5086823308270676
StackExchange,refer,0,1b,0.5206424999999999
StackExchange,refer,100,1b,0.5018294999999999
StackExchange,refer,200,1b,0.504006
StackExchange,refer,300,1b,0.5225724999999999
StackExchange,refer,400,1b,0.502488
StackExchange,refer,500,1b,0.516842
StackExchange,refer,600,1b,0.5050874999999999
StackExchange,refer,700,1b,0.5127565000000001
StackExchange,refer,800,1b,0.513792
StackExchange,refer,900,1b,0.5086823308270676
StackExchange,refer,0,2.8b,0.5206424999999999
StackExchange,refer,100,2.8b,0.5018294999999999
StackExchange,refer,200,2.8b,0.504006
StackExchange,refer,300,2.8b,0.522667
StackExchange,refer,400,2.8b,0.5026215
StackExchange,refer,500,2.8b,0.5170239999999999
