dataset,feature,length,model_size,auc
Wikipedia (en),Gradient,800,6.9b,0.5222226890756303
Wikipedia (en),Gradient,900,6.9b,0.5548639455782314
Wikipedia (en),Gradient,0,12b,0.511932
Wikipedia (en),Gradient,100,12b,0.509353
Wikipedia (en),Gradient,200,12b,0.5189085
Wikipedia (en),Gradient,300,12b,0.5283555
Wikipedia (en),Gradient,400,12b,0.5206357894736843
Wikipedia (en),Gradient,500,12b,0.5051544502617802
Wikipedia (en),Gradient,600,12b,0.5432729681978798
Wikipedia (en),Gradient,700,12b,0.5179099378881987
Wikipedia (en),Gradient,800,12b,0.5054551820728291
Wikipedia (en),Gradient,900,12b,0.5143384353741497
Wikipedia (en),Refer,0,160m,0.5202245
Wikipedia (en),Refer,100,160m,0.5035405000000001
Wikipedia (en),Refer,200,160m,0.502084
Wikipedia (en),Refer,300,160m,0.5017445
Wikipedia (en),Refer,400,160m,0.5006252631578947
Wikipedia (en),Refer,500,160m,0.500598167539267
Wikipedia (en),Refer,600,160m,0.5128436395759717
Wikipedia (en),Refer,700,160m,0.5100910973084886
Wikipedia (en),Refer,800,160m,0.5147955182072829
Wikipedia (en),Refer,900,160m,0.5286428571428572
Wikipedia (en),Refer,0,410m,0.5202245
Wikipedia (en),Refer,100,410m,0.5035405000000001
Wikipedia (en),Refer,200,410m,0.502084
Wikipedia (en),Refer,300,410m,0.5017445
Wikipedia (en),Refer,400,410m,0.5006252631578947
Wikipedia (en),Refer,500,410m,0.500598167539267
Wikipedia (en),Refer,600,410m,0.5128436395759717
Wikipedia (en),Refer,700,410m,0.5100910973084886
Wikipedia (en),Refer,800,410m,0.5147955182072829
Wikipedia (en),Refer,900,410m,0.5286428571428572
Wikipedia (en),Refer,0,1b,0.5202245
Wikipedia (en),Refer,100,1b,0.5035405000000001
Wikipedia (en),Refer,200,1b,0.502084
Wikipedia (en),Refer,300,1b,0.5017445
Wikipedia (en),Refer,400,1b,0.5006252631578947
Wikipedia (en),Refer,500,1b,0.500598167539267
Wikipedia (en),Refer,600,1b,0.5128436395759717
Wikipedia (en),Refer,700,1b,0.5100910973084886
Wikipedia (en),Refer,800,1b,0.5147955182072829
Wikipedia (en),Refer,900,1b,0.5286428571428572
Wikipedia (en),Refer,0,2.8b,0.5203245
Wikipedia (en),Refer,100,2.8b,0.5035450000000001
Wikipedia (en),Refer,200,2.8b,0.502084
Wikipedia (en),Refer,300,2.8b,0.5016274999999999
